YEAR,MO,DY,HR,T2M,QV2M,WS2M
2012,1,1,2,6.9,4.76,3.22
2012,1,1,3,6.69,4.7,3.33
2012,1,1,4,6.5,4.58,3.32
2012,1,1,5,6.25,4.39,3.27
2012,1,1,6,5.94,4.21,3.26
2012,1,1,7,6.54,4.03,3.86
2012,1,1,8,8.41,3.91,4.05
2012,1,1,9,11.66,4.27,4.88
2012,1,1,10,14.69,4.88,5.54
2012,1,1,11,16.35,4.94,5.62
2012,1,1,12,17.22,4.82,5.59
2012,1,1,13,17.58,4.76,5.54
2012,1,1,14,17.57,4.7,5.39
2012,1,1,15,16.95,4.7,4.98
2012,1,1,16,14.65,4.76,2.91
2012,1,1,17,11.55,4.82,1.89
2012,1,1,18,10.72,4.82,1.84
2012,1,1,19,10.09,4.82,1.9
2012,1,1,20,9.79,4.88,2.07
2012,1,1,21,9.51,4.88,2.23
2012,1,1,22,9.25,4.94,2.36
2012,1,1,23,9.02,5,2.36
2012,1,2,0,8.83,5.13,2.33
2012,1,2,1,8.95,5.25,2.51
2012,1,2,2,8.97,5.31,2.79
2012,1,2,3,8.73,5.43,3.02
2012,1,2,4,8.47,5.49,3.1
2012,1,2,5,8.23,5.62,3.1
2012,1,2,6,8.01,5.74,3
2012,1,2,7,8.73,5.86,3.49
2012,1,2,8,10.26,6.04,3.76
2012,1,2,9,13.18,6.41,3.87
2012,1,2,10,15.11,6.23,3.9
2012,1,2,11,16.08,5.98,3.77
2012,1,2,12,16.68,5.86,3.71
2012,1,2,13,16.86,5.74,3.7
2012,1,2,14,16.59,5.68,3.63
2012,1,2,15,16.02,5.68,3.36
2012,1,2,16,14.51,5.68,1.86
2012,1,2,17,12.73,5.68,1.42
2012,1,2,18,12.42,5.68,1.67
2012,1,2,19,12.04,5.68,1.97
2012,1,2,20,11.55,5.68,2.23
2012,1,2,21,10.82,5.68,2.33
2012,1,2,22,9.98,5.68,2.33
2012,1,2,23,8.95,5.74,2.17
2012,1,3,0,8.26,5.86,2.03
